1,0,80580,0,339405
1,0,99195,2295,336345
1,3570,55080,138720,186915
1,0,30345,4080,174675
1,36720,0,146880,0
1,0,89505,19125,284580
1,30600,0,309825,13005
2,80325,75735,115005,106845
2,70890,67830,127500,110415
2,78795,75480,122400,108885
2,83385,45390,116790,95115
2,91545,1785,118575,35445
2,42840,0,82620,0
2,23460,53550,134385,113475
2,65025,27030,121125,60945
2,71400,76755,101235,106080
3,3315,1275,126735,77265
3,8415,33915,163965,248625
3,30600,22695,241485,167535
3,75480,0,158355,0
4,44370,7140,210630,128010
4,81090,0,139230,0
4,91290,0,77010,0
4,90780,0,105315,0
4,55080,26010,262140,187680
4,22695,14790,275145,174930
4,65280,0,165240,0
4,17595,49470,333030,243270
4,97155,36975,199155,9945
5,11220,13515,322830,69105
5,60690,28050,360060,128010
5,87720,30855,330225,253725
5,66555,0,247095,0
5,72675,39015,174420,66555
5,31875,69105,142545,334050
5,63240,43860,369750,355725
5,0,0,138975,111945
5,27795,32895,357255,211650
5,53805,49215,350370,129285
1,86700,206805,510,203235
1,289680,297075,278205,490875
1,638775,132600,493170,36210
1,109395,585480,290700,135915
1,108120,614040,338895,133875
1,427380,335835,85935,0
1,167790,576810,306000,168045
1,152745,94095,140505,3825
1,599505,285855,223380,247860
1,481950,32640,219300,111690
2,233070,325890,557430,75735
2,598230,245565,183855,0
2,591345,280245,589305,1785
2,662235,312630,200940,370770
2,656115,189210,124440,459000
2,281775,25245,345780,0
2,296055,519945,378420,421515
2,499035,209355,559215,119340
2,302685,533970,281775,3060
2,545445,181305,388365,296565
3,379440,259335,285345,0
3,425850,255255,650505,1530
3,633930,178245,690285,139995
3,387345,608685,7395,491130
3,433245,31875,390150,0
3,561255,60945,653310,0
3,512805,424320,118320,597975
3,217260,673455,415140,234090
3,325380,19380,404175,2805
3,372810,437325,435285,259590
4,362100,103020,117810,0
4,173910,486795,228480,248370
4,387345,395505,321300,361590
4,504390,259845,270300,301410
4,344760,138720,228225,90780
4,329970,492915,262905,356490
4,171360,525045,246075,216240
4,472770,390660,473535,195585
4,582675,183090,380715,238935
4,568140,162180,215220,236895
5,332520,351645,165240,351645
5,194310,517140,3570,168555
5,177480,495210,74970,259845
5,203490,506685,112965,261885
5,677535,218790,255510,218535
5,630105,156060,294270,332520
5,301155,383775,173400,362355
5,147390,571455,42840,448035
5,228735,448800,124185,400095
5,313905,368220,154785,325125
